,id,English Name,Genus,Location,Latitude,Longitude,Quality Score,Author Remarks,Recording Type,MP3 Download URL,Recording Name
0,92020,Canada Goose,Branta,"Sauvie Island, Multnomah Co., Oregon",45.682,-122.809,A,"natural vocalization; calls from flock of 50 or so birds, some of which had red neck rings.",call,//www.xeno-canto.org/92020/download,92020.mp3
1,530562,Cackling Goose,Branta,"NW Reeder Rd, Canal, Access, Sauvie Island, Multnomah County, Oregon",45.702,-122.781,no score,,call,//www.xeno-canto.org/530562/download,530562.mp3
2,530560,Cackling Goose,Branta,"NW Reeder Rd, Canal, Access, Sauvie Island, Multnomah County, Oregon",45.702,-122.781,no score,,call,//www.xeno-canto.org/530560/download,530560.mp3
3,530316,Cackling Goose,Branta,"NW Oak Island Rd, Sauvie Island, Multnomah County, Oregon",45.6989,-122.8352,no score,,call,//www.xeno-canto.org/530316/download,530316.mp3
4,477242,Cackling Goose,Branta,"William Finley NWR, Bruce Rd Marsh, Willamette Valley (near  Corvallis), Benton County, Oregon",44.3897,-123.296,no score,Recording amplified. High pass filter.,call,//www.xeno-canto.org/477242/download,477242.mp3
5,477241,Cackling Goose,Branta,"William Finley NWR, Bruce Rd Fields, Willamette Valley (near  Corvallis), Benton County, Oregon",44.3895,-123.3159,no score,Recording amplified. High pass filter.,call,//www.xeno-canto.org/477241/download,477241.mp3
6,477240,Cackling Goose,Branta,"William Finley NWR, Bruce Rd Marsh, Willamette Valley (near  Corvallis), Benton County, Oregon",44.3897,-123.296,no score,Recording amplified. High pass filter.,call,//www.xeno-canto.org/477240/download,477240.mp3
7,477239,Cackling Goose,Branta,"William Finley NWR, Bruce Rd Marsh, Willamette Valley (near  Corvallis), Benton County, Oregon",44.3897,-123.296,no score,Recording amplified. High pass filter.,call,//www.xeno-canto.org/477239/download,477239.mp3
8,477238,Cackling Goose,Branta,"William Finley NWR, Bruce Rd Marsh, Willamette Valley (near  Corvallis), Benton County, Oregon",44.3897,-123.296,no score,Amplified. High pass filter.,call,//www.xeno-canto.org/477238/download,477238.mp3
9,92019,Cackling Goose,Branta,"Sauvie Island, Multnomah Co., Oregon",45.682,-122.809,A,natural vocalization; calls from a 30 or so birds flying in to join a flock of around a thousand on the ground.,call,//www.xeno-canto.org/92019/download,92019.mp3
10,92018,Cackling Goose,Branta,"Sauvie Island, Multnomah Co., Oregon",45.682,-122.809,A,natural vocalization; calls from a 30 or so birds flying in to join a flock of around a thousand on the ground.,call,//www.xeno-canto.org/92018/download,92018.mp3
